,CustomerID,Name,Email,Phone,Date Joined,Country,Purchase Amount,Product Codes 1,Product Codes 2,Product Codes 3,Notes,Address,DOB,Gender,Membership,Feedback,Last Purchase Date,Subscription Plan,Preferred Contact,Customer Last Login,IP Address,Promo Code,Loyalty Points,Account Status,Referral,Notes2,Weight(kg),Height(cm),Distance Travelled(miles),Temperature(C),Volume(gallon)
10,1028,Donna Frank  ,changsarah@gmail.com,Invaild Phone Number,2023-10-28,CAN,285.63,B234,C345,D456,Complaint Free,"10261 Bailey Highway Apt. 147, North Randytown, AR 91546",1972-02-17,F,Silver,Unsatisfied,2025-01-15,Basic,Email,2025-01-19 12:49:00,110.148.228.208,SAVE10,300,Active,Reyesrhonda,First Purchase,83.8,167.0,45.8,19.5,1.09
11,1041, Melinda Garcia,tiffanyortega@gmail.com,Invaild Phone Number,2023-06-22,USA,206.13,A123,C345,D456,Complaint Free,"3455 Teresa Walk Suite 865, North Laura, IL 69916",1997-06-18,M,Silver,Unsatisfied,2024-11-10,Premium,Phone,2025-04-25 13:50:00,Invaild IP,FREE50,300,Active,Rhiggins,No Comment,38.01,175.0,15.84,27.5,0.41
12,1057,  Mark Jones,lisastone@gmail.com,Invaild Phone Number,2025-08-25,CAN,278.33,C345,B234,D456,Complaint Free,"786 Carter Club, West Wendy, AR 70597",2004-03-25,M,Platinum,Indecisive,2024-10-17,Premium,Email,2025-01-03 15:54:00,118.144.106.175,Promo Free,300,Active,Nicholstaylor,First Purchase,27.03,173.99,19.88,27.5,1.29
13,1007, Timothy  Knapp  ,cynthia51@gmail.com,Invaild Phone Number,2025-08-13,USA,255.55,C345,B234,No Code,Repeat Customer,"757 Harris Ferry, North Margaret, CA 88958",1964-09-12,M,Gold,Indecisive,2025-03-08,Basic,None,2025-07-13 03:37:00,Invaild IP,WELCOME20,300,Inactive,Miguellewis, Needs Review,99.9,197.0,12.92,25.8,1.11
14,1054,  Steven  Bates  ,heathersims@gmail.com,Invaild Phone Number,2023-11-21,CAN,403.78,A123,No Code,No Code,Complaint Free,"7675 Tiffany Field Apt. 448, Angelaberg, MT 49042",1971-03-31,F,Silver,Neutral,2024-09-27,Premium,None,2025-08-30 09:13:00,Invaild IP,SUMMER2023,300,Inactive,Angela Garcia,No Comment,98.3,162.0,12.5,28.0,0.78
15,1084,Sheri Bennett ,ashleyballard@gmail.com,Invaild Phone Number,2023-12-11,USA,483.18,B234,A123,D456,First Time Buyer,"2866 Robertson Squares Apt. 164, Melissashire, NJ 43173",1963-08-19,F,Silver,Excellent,2025-06-17,Basic,Phone,2025-04-08 00:39:00,Invaild IP,WELCOME20,300,Active,Chadweber,No Comment,76.9,167.89,5.4,18.6,1.17
16,1019,Kathryn Marks ,kelsey59@gmail.com,Invaild Phone Number,2023-03-17,UK,448.08,C345,A123,A123,First Time Buyer,"USNS Ferguson, FPO AE 75931",1993-12-15,F,Gold,Indecisive,2024-09-16,Basic,Phone,2025-05-17 03:28:00,Invaild IP,Promo Free,300,Inactive,Wortega,No Comment,33.25,156.0,11.68,19.28,1.3
17,1079,Lisa  Martin  ,martin57@gmail.com,Invaild Phone Number,2025-07-27,USA,151.27,D456,D456,No Code,Vip,"22014 Stephanie Brook, South Erin, IN 68709",1980-02-09,F,Platinum,Indecisive,2024-04-11,Premium,Phone,2025-08-06 17:33:00,Invaild IP,SPRING50,300,Active,Collinsandrew,No Comment,99.1,191.01,36.4,25.5,1.8
18,1021,  Eric Price,garrett49@gmail.com,Invaild Phone Number,2023-07-07,UK,474.61,B234,A123,No Code,Complaint Free,"63604 Cody Stream, New Debra, NE 78013",1995-04-16,No Gender,Gold,Satisfied,2024-09-21,Premium,Email,2025-07-15 04:32:00,Invaild IP,SPRING50,300,Inactive,Tramirez, Needs Review,57.9,172.97,39.5,18.11,2.66
19,1047,Sean  Woods,cartermichael@gmail.com,Invaild Phone Number,2024-04-05,USA,278.33,C345,B234,D456,Vip,"35272 Mendoza Ridge, Joseberg, MD 16610",1996-05-07,M,Gold,Indecisive,2025-03-18,Basic,Phone,2025-10-03 00:42:00,Invaild IP,Promo Free,300,Inactive,Karen Smith,No Comment,84.5,196.09,26.16,21.78,1.15
20,1023, Danielle  Reed,brianabuchanan@gmail.com,Invaild Phone Number,2024-08-16,USA,205.04,D456,B234,D456,Complaint Free,"009 Park Divide, South Edgarshire, MO 02189",1981-02-19,F,Silver,Excellent,2025-04-04,Basic,Email,2025-06-13 22:58:00,Invaild IP,Promo Free,300,Active,Freyrebecca,No Comment,65.2,159.0,18.7,24.9,0.57
21,1010, Sharon Trevino,jasmine82@gmail.com,Invaild Phone Number,2024-06-25,USA,157.75,D456,A123,C345,Late Payment,"15167 Jennings Avenue Apt. 234, Maxwellview, AZ 64732",1977-12-23,No Gender,Gold,Satisfied,2025-12-05,Premium,Phone,2025-12-09 14:17:00,Invaild IP,SPRING50,300,Suspended,Sharon Trevino,No Comment,42.18,182.88,8.39,21.5,1.04
22,1006,Stephanie Villa,lisa37@gmail.com,Invaild Phone Number,2022-11-14,UK,213.8,B234,C345,C345,Complaint Free,"21838 Carrie Lights, Hancockview, NC 15903",1991-09-29,No Gender,Silver,Neutral,2025-05-02,Premium,Phone,2025-05-20 01:47:00,Invaild IP,WELCOME20,300,Active,Jason Gordon, Needs Review,34.88,162.0,12.24,24.3,0.31
23,1075, Robert Riggs,wattsveronica@gmail.com,Invaild Phone Number,2023-03-19,CAN,387.72,C345,C345,No Code,Needs Follow-Up,"8584 Elizabeth Gateway Suite 172, West Ericashire, GA 85910",1992-07-12,No Gender,Platinum,Neutral,2025-03-07,Premium,Phone,2025-09-04 01:35:00,Invaild IP,WELCOME20,-10,Active,Robert Riggs, Needs Review,71.9,179.07,9.9,29.22,4.74
24,1034,  Justin  Thompson  ,ramosjennifer@gmail.com,Invaild Phone Number,2022-12-13,USA,312.76,A123,C345,No Code,Needs Follow-Up,"PSC 7167, Box 3600, APO AP 42354",1995-12-27,F,Silver,Indecisive,2025-08-14,Basic,Phone,2025-08-07 23:12:00,Invaild IP,SPRING50,-10,Inactive,Justin Thompson,No Comment,43.18,186.0,30.76,27.9,0.59
25,1090, Kelly Smith ,shelbyhenderson@gmail.com,Invaild Phone Number,2024-12-19,USA,83.99,C345,C345,D456,Complaint Free,"Unit 3950 Box 3420, DPO AE 82291",1986-02-20,No Gender,Silver,Satisfied,2025-05-02,Basic,Phone,2025-08-31 16:19:00,Invaild IP,Promo Free,104,Inactive,Kelly Smith,No Comment,71.5,168.91,14.0,25.72,0.22
26,1065,  Karen Jones  ,zmitchell@gmail.com,Invaild Phone Number,2025-09-10,UK,450.9,C345,A123,No Code,Complaint Free,"Unit 4893 Box 3906, DPO AP 21292",1971-11-04,M,Silver,Indecisive,2025-08-27,Basic,Email,2025-01-31 20:05:00,Invaild IP,SPRING50,-10,Active,Karen Jones, Needs Review,26.9,177.0,21.38,26.0,1.02
27,1093,  Justin  Stark ,crystal87@gmail.com,Invaild Phone Number,2025-04-26,UK,104.85,B234,No Code,No Code,First Time Buyer,"2468 Suzanne Passage Suite 980, Stevenland, VT 70009",2002-06-13,M,Silver,Indecisive,2025-01-03,Basic,Email,2025-03-07 09:53:00,Invaild IP,WELCOME20,300,Active,Justin Stark,Check Address,67.5,195.0,42.0,26.78,0.36
28,1097,William  Cochran  ,mgordon@gmail.com,Invaild Phone Number,2023-07-01,USA,476.67,C345,No Code,No Code,Needs Follow-Up,"707 Matthews Rue Suite 474, Gailmouth, ME 32317",1984-12-06,M,Silver,Unsatisfied,2024-12-02,Basic,Phone,2025-05-03 04:32:00,Invaild IP,Promo Free,353,Suspended,Hugheslarry,First Purchase,30.75,181.0,13.42,21.5,3.67
29,1000,  Alejandro Henderson ,imiller@gmail.com,Invaild Phone Number,2025-02-26,CAN,104.98,C345,D456,No Code,Late Payment,"67673 Ronald Court, South Jeffrey, WI 71026",2006-12-21,F,Silver,Satisfied,2025-01-21,Premium,Email,2025-07-24 07:33:00,Invaild IP,FREE50,300,Active,Alejandro Henderson,Check Address,86.3,186.94,28.83,26.9,0.32
30,1067, Betty Waller  ,trogers@gmail.com,Invaild Phone Number,2025-04-25,UK,177.73,A123,No Code,No Code,Late Payment,"637 Scott Extension, West Jason, AL 37125",1988-01-10,M,Gold,Excellent,2025-05-12,Basic,Phone,2025-05-19 15:05:00,188.150.146.217,SAVE10,-10,Inactive,Kristina Kline,No Comment,83.0,163.0,32.6,24.7,4.62
31,1060, Shannon Young ,wilsonanthony@gmail.com,Invaild Phone Number,2024-05-24,CAN,55.18,B234,C345,C345,Late Payment,"819 Richard Way, Lake Tinatown, KS 42092",1971-10-22,M,Silver,Excellent,2024-02-11,Premium,Phone,2025-03-29 07:33:00,Invaild IP,SPRING50,300,Inactive,Shannon Young,First Purchase,98.2,150.88,39.6,20.9,0.33
32,1085,Roger /Gross,thomas20@gmail.com,Invaild Phone Number,2023-08-14,USA,495.25,B234,No Code,No Code,Repeat Customer,"8953 Mary Walks Suite 084, New Daniel, MT 78118",1961-01-22,M,Gold,Indecisive,2024-10-21,Premium,Phone,2025-03-06 00:04:00,Invaild IP,Promo Free,300,Active,Roger Gross, Needs Review,35.56,175.0,8.08,26.1,0.18
33,1072, David Frederick  ,hartdean@gmail.com,Invaild Phone Number,2023-07-08,UK,193.64,C345,A123,No Code,Vip,"35872 Troy Prairie Suite 988, Bethanybury, MD 21143",1969-07-13,M,Silver,Excellent,2025-01-04,Basic,Email,2025-12-06 22:38:00,Invaild IP,FREE50,300,Inactive,David Myers,No Comment,37.83,179.0,17.15,21.3,1.3
34,1030,Michael Richardson,davidlynch@gmail.com,Invaild Phone Number,2025-06-26,USA,489.4,A123,No Code,No Code,Complaint Free,"05682 Myers Trace, Lake Anthonyview, OK 55248",1995-04-15,No Gender,Silver,Unsatisfied,2024-11-01,Premium,Email,2025-03-06 07:12:00,Invaild IP,FREE50,300,Inactive,Nicole Hansen, Missing Phone,66.4,199.0,25.1,28.61,2.4
35,1100,Samantha Nguyen  ,padillapamela@gmail.com,Invaild Phone Number,2025-06-25,USA,466.33,B234,No Code,No Code,Late Payment,"9115 Meagan Avenue Suite 794, Ochoamouth, FL 17272",2001-08-28,F,Silver,Unsatisfied,2025-05-22,Basic,Email,2025-03-11 22:42:00,121.173.168.224,SPRING50,300,Inactive,Victor Hinton,Check Address,52.3,163.0,29.89,26.5,1.31
36,1033,Meredith Turner ,tina65@gmail.com,Invaild Phone Number,2024-06-01,USA,230.06,A123,B234,B234,Complaint Free,"266 Kelly Skyway, Daystad, PA 52534",1990-07-10,M,Silver,Happy,2024-01-10,Basic,Email,2025-11-02 00:40:00,Invaild IP,Promo Free,300,Active,Joshua Young,Check Address,29.71,193.0,25.3,25.2,0.89
37,1025,Emily  Johnson  ,johnwilliams@gmail.com,Invaild Phone Number,2025-08-16,USA,69.51,B234,No Code,No Code,Complaint Free,"6922 Logan Radial, Boylefort, RI 14551",1997-02-18,M,Silver,Satisfied,2025-01-31,Basic,Email,2025-02-06 09:36:00,147.124.143.214,SPRING50,300,Active,Andrew Martin,First Purchase,66.5,160.02,16.2,24.7,1.41
38,1083, Hayden Haas  ,marissa77@gmail.com,Invaild Phone Number,2025-04-08,USA,92.63,C345,C345,A123,Complaint Free,"8007 Dalton Motorway Suite 709, New Jeremy, FL 05263",1972-06-11,F,Silver,Happy,2025-10-05,Premium,Email,2025-03-09 11:51:00,Invaild IP,Promo Free,300,Active,Carlagarcia, Needs Follow-Up,72.3,164.0,32.3,22.4,4.47
39,1022,  Clayton Rodriguez  ,hking@gmail.com,Invaild Phone Number,2025-04-08,CAN,493.87,D456,No Code,No Code,Needs Follow-Up,"489 Kaylee Plains, North Amystad, MD 25080",1986-03-23,No Gender,Silver,Happy,2025-06-05,Basic,None,2025-07-01 14:10:00,Invaild IP,WELCOME20,-10,Active,Donna,First Purchase,91.3,185.93,13.92,23.39,2.61
40,1001,Matthew Silva,zgarcia@gmail.com,Invaild Phone Number,2022-01-10,USA,412.44,B234,D456,C345,First Time Buyer,"34610 Todd Extension Suite 834, Steventown, MO 13877",1980-05-16,M,Silver,Unsatisfied,2025-06-04,Basic,Phone,2025-05-23 11:15:00,Invaild IP,WELCOME20,300,Inactive,Matthew Silva,No Comment,52.7,178.0,14.0,28.7,0.41
41,1015,  Anthony  Holland ,grahamdiane@gmail.com,Invaild Phone Number,2024-05-12,CAN,265.69,A123,C345,B234,Complaint Free,"05059 Matthew Union Apt. 733, Port Lisa, SD 90329",1996-11-02,M,Gold,Indecisive,2025-02-13,Premium,Email,2025-02-25 12:22:00,Invaild IP,SPRING50,-10,Suspended,Anthony Holland,First Purchase,89.6,171.0,26.1,29.0,0.82
42,1024,James Sheppard ,fitzpatricknathaniel@gmail.com,Invaild Phone Number,2024-02-17,UK,50.72,B234,C345,No Code,Late Payment,"39234 Martinez Shore, Brittanyburgh, AK 08233",1982-09-15,No Gender,Silver,Neutral,2025-08-17,Basic,Email,2025-04-23 08:51:00,Invaild IP,SUMMER2023,426,Inactive,James Sheppard,No Comment,68.7,167.0,27.9,26.0,0.26
43,1005, Elizabeth Jones ,lrojas@gmail.com,Invaild Phone Number,2025-08-14,UK,279.63,A123,C345,No Code,Needs Follow-Up,"Unit 2207 Box 5855, DPO AP 57586",1992-12-16,No Gender,Silver,Indecisive,2025-01-27,Basic,Phone,2025-08-07 12:07:00,Invaild IP,Promo Free,300,Inactive,Elopez,No Comment,76.9,192.0,21.69,23.3,4.6
44,1098,Karl Hicks ,kelly22@gmail.com,Invaild Phone Number,2024-06-13,USA,137.64,A123,No Code,No Code,Late Payment,"8002 Bobby Street Suite 405, Dylanton, OH 49428",1988-03-31,M,Gold,Unsatisfied,2025-03-01,Basic,Email,2025-02-18 19:09:00,Invaild IP,WELCOME20,300,Inactive,Karl Hicks, Needs Follow-Up,95.8,167.0,31.0,21.0,0.8
45,1044,Tina  Shaw ,howardian@gmail.com,Invaild Phone Number,2024-09-18,UK,278.33,D456,A123,A123,Vip,"533 Monica Fall Suite 936, Douglasberg, AK 33435",1963-07-03,F,Silver,Neutral,2025-01-21,Premium,Email,2025-04-30 15:44:00,183.218.182.164,FREE50,-10,Active,Stacey Tran,No Comment,41.91,156.0,30.32,22.5,0.78
46,1029,Isabel Miller,hendrixnathan@gmail.com,Invaild Phone Number,2024-10-22,CAN,311.41,D456,D456,D456,Complaint Free,"4846 Alice Walk Apt. 455, East Christinestad, CA 40379",1988-08-20,F,Silver,Satisfied,2024-03-11,Premium,Email,2025-04-26 22:18:00,Invaild IP,SPRING50,300,Active,Isabel Miller,First Purchase,80.9,166.0,26.16,26.7,0.72
47,1027,  Courtney Matthews  ,jonathanwoods@gmail.com,Invaild Phone Number,2023-08-05,USA,350.5,B234,No Code,No Code,First Time Buyer,"USNV Jones, FPO AP 36271",1967-05-23,M,Gold,Happy,2025-09-08,Basic,Phone,2025-08-25 07:44:00,Invaild IP,WELCOME20,300,Inactive,Zacharywright,First Purchase,83.5,172.97,5.22,24.2,1.24
48,1064,  Christine Watson,christinegarcia@gmail.com,Invaild Phone Number,2024-11-24,UK,105.32,D456,B234,C345,Complaint Free,"PSC 2641, Box 0100, APO AA 36584",1984-03-20,F,Silver,Satisfied,2025-01-05,Basic,Email,2025-12-07 12:17:00,Invaild IP,Promo Free,300,Inactive,Andrew Rodriguez, Needs Review,77.8,194.06,43.1,20.89,2.36
49,1088,Angela  Harris,evargas@gmail.com,Invaild Phone Number,2024-01-12,USA,99.84,C345,No Code,No Code,Complaint Free,"111 Jeff Neck Apt. 866, Port Andrew, KY 63903",1992-07-11,M,Gold,Excellent,2025-03-10,Premium,Email,2025-04-11 13:05:00,Invaild IP,SPRING50,300,Suspended,Angela Harris,Check Address,80.1,183.0,11.1,24.0,0.93
50,1091,Madeline \Lambert ,victor45@gmail.com,Invaild Phone Number,2024-07-14,USA,481.95,B234,No Code,No Code,First Time Buyer,"957 Greer Greens, Brookeville, SC 90041",1976-12-09,No Gender,Silver,Neutral,2024-11-13,Basic,Email,2025-04-27 22:28:00,210.196.191.188,Promo Free,-10,Active,Bradleyhamilton,First Purchase,66.2,178.0,7.15,24.1,1.08
51,1061,Timothy  Ryan,careybryan@gmail.com,Invaild Phone Number,2024-11-11,UK,257.64,A123,No Code,No Code,First Time Buyer,"516 Anderson Street, West Nathaniel, NE 71379",2000-09-01,F,Silver,Happy,2025-04-01,Basic,Email,2025-08-01 00:14:00,Invaild IP,SAVE10,193,Inactive,Timothy Ryan,Check Address,75.2,168.91,7.3,26.61,1.48
52,1014,  James  Luna,osoto@gmail.com,Invaild Phone Number,2025-09-11,USA,284.22,A123,C345,No Code,Vip,"USCGC Mosley, FPO AP 64934",1990-10-16,M,Silver,Satisfied,2025-01-22,Basic,Email,2025-06-15 16:31:00,217.141.119.187,SUMMER2023,300,Active,Christopher Robinson,No Comment,81.8,188.98,33.0,25.9,0.56
53,1095,Bruce  Ochoa  ,jjohnson@gmail.com,Invaild Phone Number,2023-12-26,UK,348.04,C345,C345,B234,First Time Buyer,"33187 Michael Forest, South Wendyland, RI 32210",1988-08-16,M,Silver,Indecisive,2025-05-13,Basic,Phone,2025-07-15 09:59:00,182.197.155.172,SUMMER2023,300,Active,Fstephenson,No Comment,36.7,194.0,19.01,22.89,0.42
54,1055,  Michael  Warner  ,juan47@gmail.com,Invaild Phone Number,2024-04-11,UK,357.65,A123,A123,No Code,Needs Follow-Up,"73964 Delgado Lake, West Cassandra, WA 08523",2007-03-20,M,Silver,Unsatisfied,2025-03-13,Basic,Email,2025-08-05 09:53:00,Invaild IP,WELCOME20,300,Active,Erica Rogers, Needs Follow-Up,29.35,180.09,30.9,22.61,1.21
55,1080,Karen   Knight  ,hilldonna@gmail.com,Invaild Phone Number,2022-11-07,USA,200.28,D456,A123,No Code,Complaint Free,"06472 Rodney Green Suite 886, Rodriguezfort, MA 54081",1960-10-28,M,Silver,Unsatisfied,2025-06-27,Basic,Email,2025-08-03 15:25:00,Invaild IP,SPRING50,300,Inactive,Lewisandrew,First Purchase,38.51,156.97,32.0,25.4,0.77
56,1066,  Tara  Garcia ,owright@gmail.com,Invaild Phone Number,2023-05-23,USA,214.84,D456,B234,No Code,First Time Buyer,"25523 Brenda Glen Suite 038, East Michael, CT 93260",2003-01-01,F,Silver,Indecisive,2024-12-22,Premium,Phone,2025-04-14 12:02:00,Invaild IP,SUMMER2023,300,Inactive,Edward Miller, Missing Phone,26.08,181.0,24.8,28.6,4.5
57,1003,Michele Cantrell,caseygibson@gmail.com,Invaild Phone Number,2025-03-20,UK,278.33,A123,D456,No Code,Complaint Free,"USS Marquez, FPO AP 52122",1965-05-11,No Gender,Silver,Indecisive,2024-11-24,Basic,Email,2025-08-27 21:38:00,Invaild IP,Promo Free,300,Active,Brianna, Needs Review,84.0,170.0,21.62,18.7,1.25
58,1009,Craig  Moore ,jameswoods@gmail.com,Invaild Phone Number,2025-08-19,UK,112.37,C345,No Code,No Code,Complaint Free,"4471 Robinson Street, Michelleton, DC 27654",1991-07-06,F,Silver,Satisfied,2024-10-28,Basic,Email,2025-06-14 14:11:00,Invaild IP,Promo Free,300,Active,Craig Moore,No Comment,55.0,156.0,22.5,22.2,4.31
59,1096,  Amand\A Mercado,leahleon@gmail.com,Invaild Phone Number,2025-07-22,USA,367.31,A123,No Code,No Code,Complaint Free,"054 Thomas Hill Suite 072, Kentton, ID 75420",1964-12-03,F,Silver,Happy,2025-08-17,Premium,Phone,2025-01-23 07:43:00,Invaild IP,Promo Free,300,Active,Amand A Mercado,No Comment,79.9,199.0,29.6,29.22,0.6
60,1017,  Connor  Rivas  ,flowerssusan@gmail.com,Invaild Phone Number,2022-10-08,USA,232.91,A123,D456,No Code,Complaint Free,"139 Knapp Shoal Apt. 978, South Rachel, MN 72203",1978-06-18,M,Gold,Neutral,2025-02-23,Basic,Phone,2025-04-01 15:43:00,Invaild IP,SUMMER2023,300,Active,Connor Rivas, Needs Review,40.55,198.0,6.96,28.4,0.77
61,1077,  Kendra  Morgan  ,sydney62@gmail.com,Invaild Phone Number,2024-06-09,USA,278.33,A123,B234,A123,Complaint Free,"0189 Zamora Mount, Cantrellhaven, NC 58497",1976-09-19,F,Gold,Happy,2025-09-15,Basic,Phone,2025-04-15 21:41:00,125.143.122.127,FREE50,34,Active,Kendra Morgan,Check Address,96.4,157.99,18.64,28.8,3.38
62,1073,Jacob  Blackwell ,teresa41@gmail.com,Invaild Phone Number,2022-11-01,USA,493.66,A123,C345,B234,Vip,"071 Green Shores Apt. 929, North Javier, OR 70506",1978-03-03,No Gender,Gold,Indecisive,2024-12-11,Basic,None,2025-08-01 06:11:00,Invaild IP,WELCOME20,291,Active,Hicksmelinda,Check Address,78.6,164.0,26.16,27.9,0.91
63,1004,Bryan Barnett,rosscaleb@gmail.com,Invaild Phone Number,2023-03-04,USA,178.42,A123,No Code,No Code,Late Payment,"053 Garcia Pine, Michaelside, MS 70338",1985-07-10,No Gender,Silver,Neutral,2025-01-25,Basic,Phone,2025-02-10 16:25:00,Invaild IP,Promo Free,300,Active,Laura Hill,No Comment,60.8,167.89,6.7,23.11,1.14
64,1087,  Virginia Jenkins  ,danielchristopher@gmail.com,Invaild Phone Number,2024-12-12,USA,375.95,B234,C345,B234,Late Payment,"56281 Thomas Flats Suite 727, Weberhaven, VA 46359",1996-03-22,M,Gold,Happy,2024-09-17,Basic,Phone,2025-01-06 17:52:00,Invaild IP,SUMMER2023,300,Inactive,Virginia Jenkins,Check Address,96.0,197.0,23.67,28.9,4.86
65,1026, Colleen Cline  ,phillipzavala@gmail.com,Invaild Phone Number,2023-12-07,UK,291.2,C345,No Code,No Code,Vip,"61047 Stevens Isle, East Erin, MI 25071",2003-03-31,M,Silver,Neutral,2025-04-08,Basic,Phone,2025-07-17 00:32:00,Invaild IP,WELCOME20,300,Active,Kimberlymelendez, Needs Review,37.19,172.97,27.03,23.8,0.97
66,1042,  Charles Calderon  ,kphillips@gmail.com,Invaild Phone Number,2024-06-14,USA,304.85,B234,A123,A123,Complaint Free,"51546 Sara Lakes Suite 412, South Danatown, PA 02048",1976-07-08,M,Platinum,Happy,2025-07-08,Basic,None,2025-05-02 22:07:00,Invaild IP,WELCOME20,300,Active,Rebecca Manning,First Purchase,89.8,195.07,43.0,26.11,3.53
67,1056, Katelyn Sanchez,younglori@gmail.com,Invaild Phone Number,2023-05-03,USA,361.36,B234,No Code,No Code,Needs Follow-Up,"109 Quinn Rapid Suite 917, Sanfordmouth, AZ 15272",1966-10-20,No Gender,Silver,Satisfied,2025-03-28,Premium,Email,2025-08-03 11:02:00,Invaild IP,Promo Free,300,Suspended,Nicholassingh,No Comment,76.1,181.1,21.31,20.6,0.84
68,1070,Martin  Perez,crystalallen@gmail.com,Invaild Phone Number,2023-05-11,USA,258.04,A123,No Code,No Code,Late Payment,"61424 Reyes Forges, New Catherineside, NM 64145",1970-08-12,M,Silver,Unsatisfied,2025-04-25,Premium,None,2025-03-13 00:53:00,Invaild IP,FREE50,409,Active,Kim,Check Address,51.8,187.0,29.7,25.78,0.53
69,1011,William  Ward  ,perrycheryl@gmail.com,Invaild Phone Number,2024-11-16,UK,87.35,B234,D456,No Code,Needs Follow-Up,"8511 Ashley Isle, South Greggshire, NH 47195",1975-09-23,M,Silver,Neutral,2025-09-01,Basic,Email,2025-05-26 21:51:00,Invaild IP,SPRING50,300,Suspended,Kathy, Needs Review,98.0,179.07,11.4,19.7,0.51
