CustomerID,Name,Email,Phone,Date Joined,Country,Purchase Amount,Product Codes,Notes,Address,DOB,Gender,Membership,Feedback,Last Purchase Date,Subscription Plan,Preferred Contact,Last Login,IP Address,Promo Code,Loyalty Points,Account Status,Referral,Notes2,Weight,Height,Distance Travelled,Temperature,Volume
1028,Donna_frank  ,changsarah@chaney.info,(582)171-4952x60830,28-10-2023,CAN,285.63,"B234,C345,D456",null,"10261 Bailey Highway Apt. 147, North Randytown, AR 91546",2/17/1972,F,Silver,unsatisfied,1/15/2025,None,email,1/19/2025 12:49,110.148.228.208,SAVE10,,,reyesrhonda@martin-nunez.net,first purchase,83.8 kg,1.67 m,45.8 miles,19.5 C,4.12 L
1041, Melinda_garcia,tiffanyortega@gmail.com,001-100-903-0262,22-06-2023,uSa,206.13,"A123,C345,D456",NA,"3455 Teresa Walk Suite 865, North Laura, IL 69916",6/18/1997,m,None,unsatisfied,10/11/2024,Premium,phone,4/25/2025 13:50,invalid_ip,FREE50,N/A,Active,rhiggins@roberts.net,,83.8 lbs,175 cm,25.5 km,27.5 C,1.55 L
1057,  Mark jones,lisastone@newman.com,(607)126-2097,25-08-2025,CAN,,"C345,B234,D456",NA,"786 Carter Club, West Wendy, AR 70597",25.03.2004,M,Platinum,NA,17-Oct-24,premium,email,3/1/2025 15:54,118.144.106.175,NULL,null,,nicholstaylor@hotmail.com,first purchase,59.6 lbs,68.5 inches,32.0 km,81.5 F,4.88 L
1057,carrie_gordon  ,qsharp@kane-murray.info,001-638-327-4553x9276,14-Apr-24,Uk,54.02,"C345,D456,B234",repeat customer,"255 Steven Mountains Apt. 099, Tammyfurt, CT 32974",3/9/1980,F,Silver,excellent,15-Dec-24,,none,12/9/2025 21:14,51.73.233.133,SAVE10,181,Active,charlesmiller@jones.biz,null,67200 g,74.4 inches,48.0 km,74.1 F,0.86 L
1007," timothy 	knapp  ",cynthia51@thompson.info,(348)339-8080,13-08-2025,Usa,255.55,"C345,B234",repeat customer,"757 Harris Ferry, North Margaret, CA 88958",12/9/1964,m,gold,NA,8/3/2025,Basic,none,7/13/2025 3:37,invalid_ip,WELCOME20,,inactive,miguellewis@rogers.com,?? needs review,99.9 kg,197 cm,20.8 km,25.8 C,4210 ml
1054,  steven  bates  ,heathersims@hanson.com,001-827-980-8985x543,21-Nov-23,CAN,403.78,A123,null,"7675 Tiffany Field Apt. 448, Angelaberg, MT 49042",31.03.1971,f,Silver,neutral,9/27/2024,premium,none,30-08-2025 09:13,72.241.228.25,SUMMER2023,null,inactive,Angela Garcia,,98300 g,162 cm,12.5 miles,28.0 C,0.78 gallon
1084,Sheri bennett ,ashleyballard@yahoo.com,,2023.12.11,uSa,483.18,"B234,A123,D456",first time buyer,"2866 Robertson Squares Apt. 164, Melissashire, NJ 43173",8/19/1963,F,None,excellent,6/17/2025,basic,phone,8/4/2025 0:39,77.57.116.57,WELCOME20,300 pts,Active,chadweber@yahoo.com,null,76.9 kg,66.1 inches,5.4 miles,18.6 C,4.44 L
1019,Kathryn marks ,kelsey59@frank.com,-6668,17-Mar-23,UK,448.08,"C345,A123,A123",first time buyer,"USNS Ferguson, FPO AE 75931",15-12-1993,F,Gold,NA,16-09-2024,basic,phone,17-05-2025 03:28,77.48.187.102,,null,Inactive,wortega@trevino.com,NA,73.3 lbs,1.56 m,18.8 km,66.7 F,4.93 L
1079,"lisa	_martin  ",martin57@anthony-simpson.com,789.489.1839x898,7/27/2025,USA,151.27,"D456,D456",VIP,"22014 Stephanie Brook, South Erin, IN 68709",09.02.1980,f,Platinum,null,11/4/2024,Premium,phone,6/8/2025 17:33,invalid_ip,SPRING50,N/A,Active,collinsandrew@hotmail.com,null,99.1 kg,75.2 inches,36.4 miles,25.5 C,1.8 gallon
1021,  eric price,garrett49@gmail.com,001-264-646-2713x605,7/7/2023,Uk,474.61,"B234,A123",,"63604 Cody Stream, New Debra, NE 78013",16-04-1995,,Gold,satisfied,21-09-2024,Premium,e-mail,7/15/2025 4:32,invalid_ip,SPRING50,null,inactive,tramirez@gmail.com,?? needs review,57.9 kg,68.1 inches,39.5 miles,64.6 F,2.66 gallon
1047,sean  woods,cartermichael@hunt.net,(486)952-5126x2726,5-Apr-24,uSa,,"C345,B234,D456",VIP,"35272 Mendoza Ridge, Joseberg, MD 16610",7/5/1996,m,Gold,null,18-Mar-25,basic,phone,3/10/2025 0:42,invalid_ip,,null,inactive,Karen Smith,NA,84.5 kg,77.2 inches,42.1 km,71.2 F,4.34 L
1023, danielle  reed,brianabuchanan@hanson.org,+1-454-281-2168x76805,2024.08.16,USA,205.04,"D456,B234,D456",null,"009 Park Divide, South Edgarshire, MO 02189",19.02.1981,f,Silver,excellent,4/4/2025,Basic,e-mail,13-06-2025 22:58,192.50.180.84,NULL,,active,freyrebecca@li-raymond.com,NA,65200 g,62.6 inches,30.1 km,24.9 C,2.14 L
1010, Sharon trevino,jasmine82@nelson-johnson.com,,6/25/2024,uSa,157.75,"D456,A123,C345",late payment,"15167 Jennings Avenue Apt. 234, Maxwellview, AZ 64732",12/23/1977,,gold,satisfied,5/12/2025,premium,phn,9/12/2025 14:17,177.39.210.28,SPRING50,N/A,Suspended,,,93.0 lbs,72.0 inches,13.5 km,70.7 F,3940 ml
1006,stephanie_villa,lisa37@hotmail.com,+1-867-210-2891x999,11/14/2022,Uk,213.8,"B234,C345,C345",,"21838 Carrie Lights, Hancockview, NC 15903",9/29/1991,,silver,neutral,2/5/2025,Premium,phn,20-05-2025 01:47,25.116.237.77,WELCOME20,300 pts,Active,Jason Gordon,?? needs review,76.9 lbs,1.62 m,19.7 km,24.3 C,1.16 L
1075, robert riggs,wattsveronica@hotmail.com,001-903-345-8637,3/19/2023,CAN,387.72,"C345,C345",needs follow-up,"8584 Elizabeth Gateway Suite 172, West Ericashire, GA 85910",12/7/1992,,Platinum,neutral,7-Mar-25,premium,phone,4/9/2025 1:35,83.13.166.178,WELCOME20,-10,Active,,?? needs review,71900 g,70.5 inches,9.9 miles,84.6 F,4.74 gallon
1034,  Justin  thompson  ,ramosjennifer@erickson.org,378-040-6924,12/13/2022,USA,312.76,"A123,C345",needs follow-up,"PSC 7167, Box 3600, APO AP 42354",27.12.1995,F,,NA,14-08-2025,basic,phn,7/8/2025 23:12,91.136.250.184,SPRING50,-10,Inactive,,null,95.2 lbs,186 cm,49.5 km,27.9 C,2240 ml
1054,  denise west  ,jameswilliamson@hotmail.com,0155209680,8/20/2024,usa,427.46,"D456,C345",first time buyer,"636 Pamela Stream Apt. 433, North Kevin, FL 89096",9/1/1964,f,,satisfied,12-Jun-25,Premium,phn,5/30/2025 5:13,62.44.84.215,,null,Inactive,westjennifer@gmail.com,first purchase,99.7 kg,157 cm,12.7 miles,75.4 F,1.42 gallon
1090, kelly_smith ,shelbyhenderson@bolton.com,+1-161-451-4750x208,19-Dec-24,USA,83.99,"C345,C345,D456",null,"Unit 3950 Box 3420, DPO AE 82291",2/20/1986,,,satisfied,2-May-25,basic,phn,8/31/2025 16:19,89.132.84.97,NULL,104,inactive,,null,71500 g,66.5 inches,14.0 miles,78.3 F,840 ml
1059, andrea_campbell ,erinstevenson@hotmail.com,(864)907-8792x524,23-Jul-25,Uk,128.17,A123,first time buyer,"1646 Williams Shoal, Thomasside, WI 97761",26.03.2002,,Silver,neutral,3/20/2025,Basic,none,1/2/2025 9:09,59.30.107.103,NULL,300 pts,Active,nguyentonya@scott.net,?? Needs follow-up,81.0 kg,153 cm,22.7 miles,82.4 F,1410 ml
1065,  Karen jones  ,zmitchell@yahoo.com,720-170-9292x9106,10/9/2025,UK,450.9,"C345,A123",null,"Unit 4893 Box 3906, DPO AP 21292",04.11.1971,m,Silver,NA,27-08-2025,None,e-mail,31-01-2025 20:05,220.205.57.77,SPRING50,-10,,,?? needs review,59.3 lbs,1.77 m,34.4 km,78.8 F,3.86 L
1093,  Justin  stark ,crystal87@hodge.biz,7639824297,26-04-2025,UK,104.85,B234,first time buyer,"2468 Suzanne Passage Suite 980, Stevenland, VT 70009",13.06.2002,m,None,NA,3/1/2025,None,e-mail,7/3/2025 9:53,193.129.64.67,WELCOME20,,,,check address,67.5 kg,195 cm,42.0 miles,80.2 F,1.38 L
1097,william  cochran  ,mgordon@merritt.com,+1-084-470-4011x88831,1-Jul-23,uSa,476.67,C345,needs follow-up,"707 Matthews Rue Suite 474, Gailmouth, ME 32317",6/12/1984,M,,unsatisfied,2/12/2024,Basic,phn,3/5/2025 4:32,111.189.16.148,NULL,353,Suspended,hugheslarry@singh.com,first purchase,67.8 lbs,1.81 m,21.6 km,70.7 F,3.67 gallon
1000,  alejandro henderson ,imiller@hotmail.com,(073)036-5836,26-Feb-25,CAN,104.98,"C345,D456",late payment,"67673 Ronald Court, South Jeffrey, WI 71026",21-12-2006,F,None,satisfied,1/21/2025,Premium,email,7/24/2025 7:33,199.17.151.151,FREE50,300 pts,Active,,check address,86300 g,73.6 inches,46.4 km,26.9 C,1230 ml
1019, carlos molina ,thompsonalyssa@gmail.com,621.710.1127x542,11-Apr-25,usa,360.41,A123,late payment,"43219 Michelle Cape, Hallville, NH 86881",5/23/1961,M,Silver,null,3/2/2025,None,,8/29/2025 8:10,invalid_ip,FREE50,N/A,Active,rpowers@gmail.com,,93.4 kg,168 cm,40.3 km,22.2 C,3.95 L
1043,"Madeline  	meza ",kelly44@meyer.com,266-713-5889x12775,9/17/2024,USA,219.76,"B234,C345,B234",NA,"20502 Katie Tunnel Suite 851, East Wanda, WI 55675",17.10.1996,,silver,null,21-04-2025,Premium,phn,3/9/2025 6:08,18.91.198.179,SPRING50,-10,,taylor40@daniels.net,,77700 g,1.61 m,22.9 km,21.5 C,0.53 L
1082,  joseph jenkins ,shanecain@hotmail.com,001-366-264-6028x272,2024.05.03,Uk,485.78,"B234,B234,C345",NA,"9924 Young Meadows, Ortiztown, SD 71949",21-08-2000,,,happy,29-Apr-25,basic,none,6/1/2025 21:30,173.115.243.253,SUMMER2023,null,,,?? missing phone,71.7 lbs,74.8 inches,17.4 miles,23.0 C,1.49 gallon
1000," Aaron	ras_mussen ",christophergolden@williams.com,001-346-573-0880x81558,2024.12.27,Uk,173.37,"B234,A123",VIP,"63872 Caitlin Glen, Lechester, WV 40857",8/27/1975,M,silver,null,13-02-2025,None,phn,1/18/2025 0:27,147.163.68.128,FREE50,-10,Inactive,hailey01@jackson-rodriguez.biz,check address,56.6 lbs,1.6 m,34.9 km,74.8 F,4.79 L
1067, betty waller  ,trogers@yahoo.com,8070200037,4/25/2025,UK,177.73,A123,late payment,"637 Scott Extension, West Jason, AL 37125",10.01.1988,M,Gold,excellent,12-May-25,None,phone,5/19/2025 15:05,188.150.146.217,SAVE10,-10,Inactive,Kristina Kline,null,83000 g,1.63 m,32.6 miles,24.7 C,4.62 gallon
1079, alejandro perry,zwilson@hotmail.com,(801)032-1189,5/10/2025,Uk,97.85,"A123,B234,B234",repeat customer,"99466 Henson Trafficway, North Norman, NC 93788",30.05.1991,M,None,neutral,8/7/2025,premium,none,6/15/2025 19:47,222.62.65.49,SUMMER2023,300 pts,active,terrence39@wiley.com,first purchase,99.1 kg,1.7 m,16.4 km,78.8 F,1.49 L
1038,  sabrina_reynolds ,morgantyler@joyce.com,+1-562-657-7086x14820,20-Aug-25,usa,452.92,D456,late payment,"874 Garcia Avenue Suite 623, East Thomas, WA 31734",8/9/1981,F,Gold,satisfied,4/2/2025,,email,6/1/2025 5:06,180.191.42.243,FREE50,150,,,NA,51200 g,156 cm,29.5 km,82.8 F,2.26 L
1060, Shannon young ,wilsonanthony@hotmail.com,(180)733-3946x070,2024.05.24,CAN,55.18,"B234,C345,C345",late payment,"819 Richard Way, Lake Tinatown, KS 42092",22.10.1971,m,,excellent,11/2/2024,Premium,phone,29-03-2025 07:33,invalid_ip,SPRING50,N/A,inactive,,first purchase,98200 g,59.4 inches,39.6 miles,20.9 C,1260 ml
1085,"roger	/gross",thomas20@ruiz-walker.biz,,8/14/2023,uSa,495.25,B234,repeat customer,"8953 Mary Walks Suite 084, New Daniel, MT 78118",22-01-1961,M,Gold,null,21-Oct-24,Premium,phone,6/3/2025 0:04,2.9.244.95,NULL,null,active,,?? needs review,78.4 lbs,1.75 m,13.0 km,26.1 C,670 ml
1072, David_frederick  ,hartdean@cross.com,,8/7/2023,Uk,193.64,"C345,A123",VIP,"35872 Troy Prairie Suite 988, Bethanybury, MD 21143",7/13/1969,M,Silver,excellent,4/1/2025,basic,,6/12/2025 22:38,109.41.22.188,FREE50,null,inactive,David Myers,null,83.4 lbs,179 cm,27.6 km,21.3 C,4.91 L
1030,Michael_richardson,davidlynch@holmes.biz,001-417-494-1909x1629,6/26/2025,uSa,489.4,A123,null,"05682 Myers Trace, Lake Anthonyview, OK 55248",4/15/1995,,None,unsatisfied,1/11/2024,Premium,e-mail,6/3/2025 7:12,68.238.175.87,FREE50,,Inactive,Nicole Hansen,?? missing phone,66400 g,1.99 m,40.4 km,83.5 F,2.4 gallon
1100,samantha nguyen  ,padillapamela@brown.com,,25-06-2025,usa,466.33,B234,late payment,"9115 Meagan Avenue Suite 794, Ochoamouth, FL 17272",28.08.2001,f,,unsatisfied,5/22/2025,basic,email,11/3/2025 22:42,121.173.168.224,SPRING50,N/A,Inactive,Victor Hinton,check address,52300 g,163 cm,48.1 km,26.5 C,4.97 L
1046,fernando_perkins  ,juan14@silva.com,,4/5/2024,CAN,499.98,"A123,B234",repeat customer,"23551 Henry Harbor Apt. 082, Amyborough, AZ 41369",11/4/1966,m,,unsatisfied,27-Feb-25,basic,phn,14-08-2025 09:00,29.130.197.13,,null,active,Michael Ryan,check address,87.3 lbs,1.84 m,36.9 km,28.3 C,4.01 gallon
1060,john  martin  ,donnamiller@clark-wright.org,(778)994-0042,2023.08.01,usa,121.77,A123,repeat customer,"61778 Johnson Island Suite 429, Nicoleport, DC 72765",14-06-2007,,Silver,happy,23-Jun-25,Basic,email,2/19/2025 12:21,invalid_ip,SPRING50,,Suspended,,check address,87.6 kg,1.93 m,36.5 miles,71.6 F,3.32 gallon
1033,Meredith turner ,tina65@ayala.info,(781)769-6871x768,1/6/2024,USA,230.06,"A123,B234,B234",,"266 Kelly Skyway, Daystad, PA 52534",10/7/1990,M,,happy,10/1/2024,Basic,email,2/11/2025 0:40,36.73.175.204,NULL,null,Active,Joshua Young,check address,65.5 lbs,1.93 m,25.3 miles,25.2 C,3.37 L
1025,"Emily	_johnson  ",johnwilliams@reed.org,3997707676,16-08-2025,usa,69.51,B234,null,"6922 Logan Radial, Boylefort, RI 14551",18-02-1997,m,None,satisfied,31-01-2025,Basic,e-mail,6/2/2025 9:36,147.124.143.214,SPRING50,N/A,,Andrew Martin,first purchase,66.5 kg,63.0 inches,16.2 miles,24.7 C,1.41 gallon
1083, Hayden haas  ,marissa77@hotmail.com,315.289.2127x932,8/4/2025,usa,92.63,"C345,C345,A123",null,"8007 Dalton Motorway Suite 709, New Jeremy, FL 05263",11/6/1972,F,Silver,happy,5/10/2025,premium,e-mail,9/3/2025 11:51,96.157.57.154,,300 pts,,carlagarcia@yahoo.com,?? Needs follow-up,72300 g,1.64 m,32.3 miles,22.4 C,4.47 gallon
1022,  clayton rodriguez  ,hking@yahoo.com,(768)184-7702x521,8-Apr-25,CAN,493.87,D456,needs follow-up,"489 Kaylee Plains, North Amystad, MD 25080",23.03.1986,,Silver,happy,5/6/2025,,none,1/7/2025 14:10,80.103.186.120,WELCOME20,-10,Active,donna53@gmail.com,first purchase,91.3 kg,73.2 inches,22.4 km,74.1 F,2.61 gallon
1034, Stephen reid,wallacedawn@@acevedo.biz,,22-Nov-22,UK,56.25,"C345,B234",first time buyer,"5876 George Branch Apt. 165, Lake Wayneville, NH 31070",27.08.1989,f,None,excellent,23-03-2025,None,email,6/1/2025 9:11,150.207.73.26,FREE50,N/A,Active,Lori West,?? Needs follow-up,52500 g,1.99 m,10.2 miles,66.4 F,3130 ml
1022,  Adam  miller,suttonnicole@shea-wilson.com,(390)871-9656,13-Jan-25,USA,482.26,"C345,C345,C345",NA,"PSC 8695, Box 2817, APO AA 43214",7/30/1989,M,Platinum,excellent,6/11/2025,,email,3/14/2025 3:03,196.165.115.172,SPRING50,,inactive,,first purchase,61.4 kg,156 cm,20.5 miles,25.7 C,4.73 L
1075,"Patricia  	west  ",wmartin@clay.com,417-253-3139x8891,21-10-2023,Uk,123.13,"D456,A123",repeat customer,"039 Warren Valleys, Caseystad, KY 15919",8/2/2001,f,Platinum,NA,15-06-2025,,email,4/13/2025 18:43,179.252.164.174,WELCOME20,N/A,,Ronald Ross,null,66.3 kg,1.59 m,5.7 km,79.7 F,3.36 gallon
1001,Matthew silva,zgarcia@@gmail.com,738.569.6710x7681,10/1/2022,usa,412.44,"B234,D456,C345",first time buyer,"34610 Todd Extension Suite 834, Steventown, MO 13877",5/16/1980,M,None,unsatisfied,4/6/2025,,phn,23-05-2025 11:15,33.143.241.79,WELCOME20,300 pts,inactive,,,52.7 kg,178 cm,14.0 miles,28.7 C,1.55 L
1015,"  Anthony 	holland ",grahamdiane@wilson.com,(996)264-0277x530,2024.05.12,CAN,265.69,"A123,C345,B234",,"05059 Matthew Union Apt. 733, Port Lisa, SD 90329",02.11.1996,m,Gold,NA,13-02-2025,Premium,,25-02-2025 12:22,197.77.51.200,SPRING50,-10,Suspended,,first purchase,89.6 kg,171 cm,42.0 km,29.0 C,3.09 L
1024,james_sheppard ,fitzpatricknathaniel@yahoo.com,(638)967-9329x70918,17-02-2024,Uk,50.72,"B234,C345",late payment,"39234 Martinez Shore, Brittanyburgh, AK 08233",15-09-1982,,None,neutral,17-08-2025,,,23-04-2025 08:51,71.237.166.199,SUMMER2023,426,inactive,,,68.7 kg,1.67 m,44.9 km,78.8 F,0.97 L
1005, Elizabeth_jones ,lrojas@gmail.com,412.093.7115x71305,2025.08.14,UK,279.63,"A123,C345",needs follow-up,"Unit 2207 Box 5855, DPO AP 57586",12/16/1992,,None,NA,1/27/2025,None,phone,7/8/2025 12:07,100.6.98.43,NULL,null,Inactive,elopez@peterson.info,,76900 g,192 cm,34.9 km,23.3 C,4.6 gallon
1098,Karl hicks ,kelly22@morgan-gutierrez.org,+1-265-094-4854x293,2024.06.13,uSa,137.64,A123,late payment,"8002 Bobby Street Suite 405, Dylanton, OH 49428",3/31/1988,m,gold,unsatisfied,1-Mar-25,Basic,,2/18/2025 19:09,37.107.182.119,WELCOME20,null,inactive,,?? Needs follow-up,95800 g,1.67 m,31.0 miles,69.8 F,3020 ml
1044,"Tina	_shaw ",howardian@yahoo.com,958.232.5165,9/18/2024,Uk,,"D456,A123,A123",VIP,"533 Monica Fall Suite 936, Douglasberg, AK 33435",03.07.1963,F,silver,neutral,21-Jan-25,Premium,email,4/30/2025 15:44,183.218.182.164,FREE50,-10,active,Stacey Tran,null,92.4 lbs,1.56 m,48.8 km,72.5 F,2950 ml
1029,Isabel_miller,hendrixnathan@@blair.com,462-045-5886x735,22-Oct-24,CAN,311.41,"D456,D456,D456",null,"4846 Alice Walk Apt. 455, East Christinestad, CA 40379",8/20/1988,F,,satisfied,11/3/2024,Premium,email,26-04-2025 22:18,63.134.142.167,SPRING50,300 pts,active,,first purchase,80.9 kg,166 cm,42.1 km,26.7 C,0.72 gallon
1001, Brandi  key,jennaellis@lewis.com,070-264-1361,20-Nov-24,uSa,145.97,B234,null,"PSC 1400, Box 1112, APO AE 70256",2/11/1970,m,silver,neutral,22-Aug-25,,,6/24/2025 16:34,84.76.10.111,SAVE10,N/A,inactive,Cynthia Kelly,NA,75400 g,64.6 inches,41.1 km,19.2 C,3.26 gallon
1027,  Courtney_matthews  ,jonathanwoods@campbell-burke.biz,,5/8/2023,Usa,350.5,B234,first time buyer,"USNV Jones, FPO AP 36271",5/23/1967,m,gold,happy,8/9/2025,,phn,25-08-2025 07:44,92.69.151.190,WELCOME20,,inactive,zacharywright@russell.com,first purchase,83500 g,68.1 inches,8.4 km,24.2 C,1.24 gallon
1025,  laura  kaiser  ,bartonronald@gmail.com,+1-329-121-0363x85279,29-09-2022,usa,357.02,"D456,A123",first time buyer,"999 Barry Forges Suite 314, Robinsonfurt, OH 88551",6/14/2003,M,Silver,satisfied,22-Feb-25,Basic,e-mail,7/27/2025 12:50,200.92.96.205,SAVE10,,Suspended,,?? needs review,86.7 lbs,191 cm,24.3 km,72.0 F,2650 ml
1067, kaitlyn  brown ,burnettjamie@taylor.com,001-730-219-4458,11-Jun-25,usa,469.51,"D456,C345",VIP,"671 Boyd Stream Suite 770, Port Beth, MD 25351",12/11/1997,,,happy,3/19/2025,premium,email,7/8/2025 2:40,134.167.91.150,SPRING50,N/A,Inactive,stephenjames@gmail.com,,57.0 lbs,1.93 m,40.8 km,26.7 C,4410 ml
1043, Randy smith  ,alison55@moore-byrd.net,942.154.6838x9763,26-02-2024,usa,112.45,C345,NA,"97814 Randolph Forge Apt. 823, Bradleymouth, NC 47390",29-09-1996,m,Gold,unsatisfied,3/23/2025,,none,4/9/2025 11:00,128.176.15.77,WELCOME20,300 pts,active,,check address,53.4 kg,77.6 inches,34.8 km,77.4 F,3.39 L
1064,  Christine watson,christinegarcia@hill.com,,11/24/2024,Uk,105.32,"D456,B234,C345",,"PSC 2641, Box 0100, APO AA 36584",3/20/1984,f,silver,satisfied,5-Jan-25,None,e-mail,7/12/2025 12:17,24.12.25.220,NULL,N/A,Inactive,Andrew Rodriguez,?? needs review,77800 g,76.4 inches,43.1 miles,69.6 F,2.36 gallon
1079, Mark williams,nathanwilliams@@hotmail.com,001-899-432-8650x933,2025.06.22,uSa,140.69,B234,null,"189 Parker Stravenue, Watsontown, DE 53020",2/9/1968,m,gold,null,2/3/2025,,none,8/28/2025 9:07,70.67.158.199,NULL,N/A,Inactive,,NA,66.7 lbs,67.7 inches,45.6 km,29.9 C,1.23 L
1038,"  lisa	\mckenzie ",marychen@@hotmail.com,(545)245-0915x152,3/15/2025,Uk,479.62,"B234,A123",repeat customer,"21474 Collins Spur, Lake Jacob, MS 80133",27-05-2001,f,Platinum,satisfied,12/25/2024,None,phone,6/26/2025 1:11,119.116.225.252,WELCOME20,300 pts,active,gregory34@mason.com,null,90.1 lbs,1.72 m,36.6 km,79.5 F,3.83 gallon
1007, Scott  harrison,elizabeth86@clark-woodward.com,967-212-5386x266,12/9/2023,usa,373.1,"B234,C345",needs follow-up,"1570 Shelia Turnpike, Lake Matthew, AK 82090",07.06.1989,f,None,NA,27-08-2025,None,phn,4/10/2025 10:15,108.64.149.108,SAVE10,N/A,,David Herrera,first purchase,61800 g,75.6 inches,40.2 km,84.0 F,2.13 gallon
1028,"renee	 montgomery",brandongeorge@hubbard-soto.com,385-792-5688,2025.08.14,usa,118.19,"C345,B234",VIP,"2536 Chelsea Shores, Morganview, AK 03034",15-12-1960,m,Silver,null,10-Feb-25,Basic,phn,8/11/2025 6:07,70.21.33.36,NULL,300 pts,active,,?? missing phone,85300 g,196 cm,49.9 km,20.7 C,3.74 L
1072, Ana  smith,joseph19@yahoo.com,+1-513-795-1547x6383,2025.08.21,USA,151.62,D456,needs follow-up,"98154 Monique Squares Suite 935, East Alexandra, ND 24746",5/24/1997,F,silver,happy,28-08-2025,None,phone,6/15/2025 17:21,102.236.119.100,SPRING50,null,inactive,John Lloyd,?? needs review,77.7 kg,169 cm,30.3 km,79.5 F,3.73 L
1088,Angela  harris,evargas@yahoo.com,+1-222-579-4506x2028,2024.01.12,USA,99.84,C345,null,"111 Jeff Neck Apt. 866, Port Andrew, KY 63903",11/7/1992,m,Gold,excellent,10-Mar-25,Premium,,11/4/2025 13:05,163.49.128.12,SPRING50,300 pts,Suspended,,check address,80.1 kg,1.83 m,11.1 miles,75.2 F,3510 ml
